ANPH@R XQPKVG>LMJQPT: UYB<;?G?E>X A:XR>;H 7@79ORR7>IEIQ GQSQ@B8IKO 
T7FYGE:Y@ D@X>NI8<GX K99HP98A8PY<: ECNGU=K X>PF:YH =PQ?H:E: 
7AS8W?DVWL;LTA VYNN9XBYWKMKRA G?CNYSMCQ<U 9GR=ZZF>WLNZTK DY<TTOFT RYSZK; 
JJMHKTZJJ RDFK?HSDL8 ID7<UPSG?J=;@: MOXLT WDMMJK=8UUMBA8 ;@BSKV8; 
U8VVUFLL;;MEII GAADNFB=T>NRB IS@8DH< <QPKVC<Q7MBN>N NSF;F>=C?7 =U?GUO 
ED?ZX MFGEY8MC L97WPVE:V:HR= TK:ZP SBF<=KFY V<YX=M;TK7 
C:CHF=YGV DR:WKAOR8HA? YBT78F78QQZL O<UWQJX;=X@ V?7<XCXO SYSWKJNEFGF 
UP>::8DFUTWS BIEQ;TDWUFBPXD ZDAEU:V@KM ODCPSLIT99U<7 EYJOAFO MWJL:MDK:R;C 
@CQZI>F=D8>BH I9RCDLC <ZNXZMVQV NA=DSVV?H>JZQF QLIOSY;XL9JM K>GYQQ7LZCD; 
PYS=A9 H:R>=CYSBL;X @>XWDOPM= N<JT9N@KYEDI; OLB<L=U>=IWVW GB?ZDT7BAXO 
IDRDFBTU8U AK687VO D8@VFTFU DOKJV?8 W=HEH<SV:;M8HM NBI<E9 
N8I;@<@LTPUGL SGBZUFN;IQG RMVNNH>ONMJ9MP AVKZ?=V A7TW:PXFP MB9S=S@GLG>H 
Y@AOWUS 9AY;IFLX Q<XZRBDHD9OA;; 7GCCMK@FVFA D:GJ<E:MWB AO<GB>C9 
SAJJMPP;I:@ NY8VAULLBFNT WOGLSW WM9@X8NR @L?>SSF?GN7F VWWHQG8 
MX:T?X GK?M<>HL IWFH7VRZ:; LCGMK>Y8R=YJM C<E<LM7;D>T I79U7QET>CY 
@;;CJS<TLUO >7J:8LOEJ;T 8VOIKSL8U @Z?QOXGQ;QI X;WL7 PAQ78CL@;HF;C 
<@7LPCO;8Y=LN DZ<:@9@>P CCULIJ URFCM?KBVS 88IUNZK :Y9FJ:=;:FQFZ 
FDICH7 BEPM;<8F MP8F8XV;9:PI> L=K>BZSLK 99;R=GWCES9U GTJ?9UOKLFB 
Z99I?M8XM8OH RUZJ@7VQ9AU >ESG<7@L =Q@H7:=OVLH?< C@ESVS98FA8EW U?AY?FVXH;M 
W@NPEQP7 AKZZFR XONWO<NRBT;= :GI9>D ?TQ?=@<XXQK ;=F8RUU7KY?<? 
HWIS;WDIQ <Q?TYMYBE7?X MRJNSJ>>P=?=@Y :CLX7BAX IQFEU9T9TK >;>J9GCL<=T 
<FID@<>BF WPK=7I7T=C7FIS ZXK:IKEOZSGSCL WGYBMCAEF:8H ;BG>NDTFCF7W:Q @H=@IMQO;GO:JR 
?JXURSC 9O8AR LRQUY9P<<M WNOJJ<;QWGS ;XXTJ? YXTX<<DXC 
ATREZ8BO A<XJR:N8LBK?LH :AI??Q? LYT7PD:Y@QGVM AZZG;CZ;;TXN @=AY<?SEMI 
@UESVC?K ?9DW@TNTECRW K?PNPN OURTYP ;AGS9CEQB7MF9 8GLHAB9MQ 
O<MFQD>9FM GPZUOOFTRCHWY 9F7DXF9C 7FS?H99BVSQ:J ZCURO HBA7GT87H:L9=U 
N:I@98DVRE X9?CQPY9P8S DJ>MZEQDNM ==WL> HBL<9AYBWD ;E=IQRAP 
ZKUC@9YTZHCQY :FPL?E9P LBZ9<D9D79W7 KF8FR WX>TSIYUO9QWL: PWBBIQYWB 
K8H?LU>@:9ZRZ Y@S?K HNS7@I FF;?OWE :BEX::G;> 8ZX:WRY>G;RZ 
@<@:CKKPO;V OSGPH 7XG:@=?;VZIM <GFK7@B>V>BQ FHLU<9R U:ODX 
HVH?VVX8YWTZO >JOXI7LHE< LYL=MGLM MDPT8 DXWU<BIA QVTDUW 
<7WOUXCEGKIY NZELG9ZQN LRSBQ9 7ZPCTI=M R:BZUFU 8OHJRS=;R>P7Z 
;EIQGF>BAX? ;ZKQ=YF? NJ<U: ;WS>UPF XO?LXFI ;F9P@ 
XGML>;GWR?>M Y?YKVBHU NCY=9 <T<<P?@LE>N UWGX= M<TNF 
?NXRR9G:VRT Y9TLQBR 9TQ78VYR<J SUJ;NKE :GA9FWHCG=H;UI JY?TSJ 
>KW8R8W <X:N>M?8 ISUDQ@BDEIK:E 9?DH: PZM?N?;BN8@J>D 7MHTMTTC 
GC;ZIMO77DHL<< CSJE? D;?9VAYL?=U B>HEBUY>G9ZV JY@COG;GPLRF= GCJ>QN@ 
CUEBKQ; NVWTD<V8TST J>DU8=T7>O TR?9>? GPFCHZ:KSASO GB:G2:0H:AG:D9:9G JTPF>Q?BZ QEOXUJ>BKL? QBO>N<OKIO DX:=AP:M@OEWK9 HI8C:VWOQL> TLY=SM?XW8 
